Rank,Recommended action,Score impact,Points achieved,Status,Regressed,Have license?,Category,Product,Last synced ,Microsoft update,Notes
1,Disable 'Allow running plugins that are outdated',+0.58%,	0/8,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
2,Turn on Microsoft Defender Application Guard managed mode,+0.58%,	0/8,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
3,Turn on Microsoft Defender Credential Guard,+0.58%,	0/8,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
4,Set User Account Control (UAC) to automatically deny elevation requests,+0.58%,	0.03/8,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
5,Secure Microsoft Defender Firewall domain profile,+0.66%,	2.43/9,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
6,Secure Home Folders in macOS,+0.44%,	0/6,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
7,Quarantine messages that are detected from impersonated domains,+0.44%,	0/6,To address,No,Yes,Apps,Defender for Office,1/5/2023,None,
8,Quarantine messages that are detected from impersonated users,+0.44%,	0/6,To address,No,Yes,Apps,Defender for Office,1/5/2023,None,
9,Block process creations originating from PSExec and WMI commands,+0.66%,	3.53/9,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
10,Secure Microsoft Defender Firewall public profile,+0.66%,	3.86/9,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
11,Secure Microsoft Defender firewall private profile,+0.66%,	3.86/9,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
12,Resolve unsecure domain configurations,+0.37%,	0/5,To address,No,Yes,Identity,Defender for Identity,1/5/2023,None,
13,Block webpages from automatically running Flash plugins,+0.37%,	0/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
14,Disable JavaScript on Adobe DC,+0.37%,	0/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
15,Disable JavaScript on Adobe Reader DC,+0.37%,	0/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
16,Disable Flash on Adobe Reader DC,+0.37%,	0/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
17,Set 'Minimum PIN length for startup' to '6 or more characters',+0.37%,	0/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
18,Disable merging of local Microsoft Defender Firewall connection rules with group policy firewall rules for the Public profile,+0.37%,	0/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
19,Disable merging of local Microsoft Defender Firewall rules with group policy firewall rules for the Public profile,+0.37%,	0/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
20,Resolve unsecure account attributes,+0.37%,	0/5,To address,No,Yes,Identity,Defender for Identity,1/5/2023,None,
21,Stop clear text credentials exposure,+0.37%,	0/5,To address,No,Yes,Identity,Defender for Identity,1/5/2023,None,
22,Stop weak cipher usage,+0.37%,	0/5,To address,No,Yes,Identity,Defender for Identity,1/5/2023,None,
23,Remove dormant accounts from sensitive groups,+0.37%,	0/5,To address,No,Yes,Identity,Defender for Identity,1/5/2023,None,
24,Protect and manage local admin passwords with Microsoft LAPS,+0.37%,	0/5,To address,No,Yes,Identity,Defender for Identity,1/5/2023,None,
25,Modify unsecure Kerberos delegations to prevent impersonation,+0.37%,	0/5,To address,No,Yes,Identity,Defender for Identity,1/5/2023,None,
26,Set screen to lock when screensaver starts in macOS,+0.37%,	0/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
27,Set action to take on phishing detection,+0.37%,	0/5,To address,No,Yes,Apps,Defender for Office,1/5/2023,None,
28,Disable 'Password Manager',+0.37%,	0.02/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
29,Disable running or installing downloaded software with invalid signature,+0.37%,	0.02/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
30,Enable 'Microsoft network client: Digitally sign communications (always)',+0.37%,	0.03/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
31,Set 'Minimum password length' to '14 or more characters',+0.37%,	0.1/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
32,Disable the local storage of passwords and credentials,+0.37%,	0.11/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
33,Ensure all users can complete multifactor authentication,+0.66%,	4.43/9,To address,No,Yes,Identity,Azure Active Directory,1/4/2023,None,
34,Enable 'Local Security Authority (LSA) protection',+0.58%,	3.76/8,To address,Yes,Yes,Device,Defender for Endpoint,1/5/2023,None,
35,Do not allow users to grant consent to unreliable applications,+0.29%,	0/4,To address,No,Yes,Identity,Azure Active Directory,1/4/2023,None,
36,Enable the 'show first contact safety tip' option,+0.29%,	0/4,To address,No,Yes,Apps,Defender for Office,1/5/2023,None,
37,Fix unquoted service path for Windows services,+0.58%,	4.24/8,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
38,Set 'Reset account lockout counter after' to 15 minutes or more,+0.44%,	2.96/6,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
39,Set 'Account lockout duration' to 15 minutes or more,+0.44%,	3.08/6,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
40,Enable 'Hide Option to Enable or Disable Updates',+0.37%,	2.09/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
41,Set 'Enforce password history' to '24 or more password(s)',+0.37%,	2.18/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
42,"Set 'Maximum password age' to '60 or fewer days, but not 0'",+0.37%,	2.19/5,To address,Yes,Yes,Device,Defender for Endpoint,1/5/2023,None,
43,Set 'Minimum password age' to '1 or more day(s)',+0.37%,	2.6/5,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
44,Require multifactor authentication for administrative roles,+0.73%,	7.87/10,To address,No,Yes,Identity,Azure Active Directory,1/4/2023,None,
45,Turn on Microsoft Defender Antivirus real-time protection for Linux,+0.73%,	8.26/10,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
46,Turn on Microsoft Defender Antivirus PUA protection in block mode for Linux,+0.66%,	7.43/9,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
47,Set folder access-based enumeration for shares,+0.58%,	6.5/8,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
48,Fix Microsoft Defender for Endpoint sensor data collection,+0.73%,	8.54/10,To address,Yes,Yes,Device,Defender for Endpoint,1/5/2023,None,
49,Fix Microsoft Defender for Endpoint impaired communications,+0.73%,	8.54/10,To address,Yes,Yes,Device,Defender for Endpoint,1/5/2023,None,
50,Disable Microsoft Defender Firewall notifications when programs are blocked for Public profile,+0.15%,	0.56/2,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
51,Disable Microsoft Defender Firewall notifications when programs are blocked for Private profile,+0.15%,	0.56/2,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
52,Disable Microsoft Defender Firewall notifications when programs are blocked for Domain profile,+0.15%,	0.56/2,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
53,Turn on Microsoft Defender for Endpoint sensor,+0.73%,	8.56/10,To address,Yes,Yes,Device,Defender for Endpoint,1/5/2023,None,
54,Enable Automatic Updates,+0.37%,	3.85/5,To address,Yes,Yes,Device,Defender for Endpoint,1/5/2023,None,
55,Enable EDR in block mode,+0.58%,	7/8,To address,No,Yes,Device,Defender for Endpoint,1/5/2023,None,
56,Deploy a log collector to discover shadow IT activity,+0.07%,	0/1,To address,No,Yes,Apps,Microsoft Defender for Cloud Apps,1/5/2023,None,
57,Set a honeytoken account,+0.07%,	0/1,To address,No,Yes,Identity,Defender for Identity,1/5/2023,None,
58,Configure VPN integration,+0.07%,	0/1,To address,No,Yes,Identity,Defender for Identity,1/5/2023,None,
59,Set automatic email forwarding rules to be system controlled,+0.07%,	0/1,To address,No,Yes,Apps,Defender for Office,1/5/2023,None,
60,Set maximum number of external recipients that a user can email per hour,+0.07%,	0/1,To address,No,Yes,Apps,Defender for Office,1/5/2023,None,
61,Set maximum number of internal recipients that a user can send to within an hour,+0.07%,	0/1,To address,No,Yes,Apps,Defender for Office,1/5/2023,None,
